,PRN+SBAR,SINV,S+ADJP,SBAR+S,VP+VP,NP+S,NP+SBAR,NP+SBAR+WHNP+S+VP,S,UCP,LST,S+VP,FRAG,S+SBAR,SBARQ+SQ,NP+VP,SQ+FRAG,FRAG+SBAR,SBAR+SINV,SBARQ,NP+SBAR+S,SQ+VP+VP,NAC,SBAR,ADJP,WHADVP,NP+QP,SQ+VP,PP,WHPP,PRN,NX,PRT,NX+NX,NP,S+NP,INTJ,VP,NP+S+VP,CONJP,ADVP,SBAR+S+VP,QP,SQ,WHADJP,WHNP
PRT,0.010472865756902571,0.009138742730545556,0.02517162471395881,0.0022883295194508014,0.018633540372670808,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.0006165804076904393,0.021414665801427646,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.004387714399680893,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.02517162471395881,0.001946787800129785,0.004257515159334279,0.013409183258837871,0.043478260869565216,0.02517162471395881,0.00035452992554871565,0.018633540372670808,0.01226309921962096,0.01649175412293853,0.009760425909494231,0.043478260869565216,0.0001340041663113526,0.021414665801427646,0.043478260869565216,0.02623087215120136,0.043478260869565216,0.021414665801427646,0.0022175929037027077,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.02517162471395881,0.004257515159334279
PRP,0.010472865756902571,0.009138742730545556,0.02517162471395881,0.0022883295194508014,0.018633540372670808,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.0006165804076904393,0.021414665801427646,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.004387714399680893,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.02517162471395881,0.001946787800129785,0.004257515159334279,0.013409183258837871,0.043478260869565216,0.02517162471395881,0.00035452992554871565,0.018633540372670808,0.01226309921962096,0.01649175412293853,0.009760425909494231,0.043478260869565216,0.056172110078331526,0.021414665801427646,0.043478260869565216,0.000371032482207306,0.043478260869565216,0.021414665801427646,0.0022175929037027077,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.02517162471395881,0.004257515159334279
RB,0.010472865756902571,0.009138742730545556,0.02517162471395881,0.0022883295194508014,0.14850367024280067,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.0006165804076904393,0.021414665801427646,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.004387714399680893,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.02517162471395881,0.001946787800129785,0.12295187717713844,0.013409183258837871,0.043478260869565216,0.02517162471395881,0.00035452992554871565,0.018633540372670808,0.01226309921962096,0.01649175412293853,0.009760425909494231,0.043478260869565216,0.0001340041663113526,0.021414665801427646,0.043478260869565216,0.02623087215120136,0.043478260869565216,0.31992212848799484,0.7904710704925744,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.02517162471395881,0.004257515159334279
NNS,0.010472865756902571,0.009138742730545556,0.02517162471395881,0.0022883295194508014,0.018633540372670808,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.0006165804076904393,0.021414665801427646,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.004387714399680893,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.02517162471395881,0.001946787800129785,0.004257515159334279,0.013409183258837871,0.043478260869565216,0.02517162471395881,0.00035452992554871565,0.018633540372670808,0.01226309921962096,0.3613193403298352,0.009760425909494231,0.043478260869565216,0.14116323737822878,0.17066839714471124,0.043478260869565216,0.000371032482207306,0.043478260869565216,0.021414665801427646,0.0022175929037027077,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.02517162471395881,0.004257515159334279
NNP,0.010472865756902571,0.009138742730545556,0.02517162471395881,0.0022883295194508014,0.018633540372670808,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.0006165804076904393,0.021414665801427646,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.004387714399680893,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.02517162471395881,0.001946787800129785,0.004257515159334279,0.013409183258837871,0.043478260869565216,0.02517162471395881,0.00035452992554871565,0.018633540372670808,0.01226309921962096,0.13143428285857073,0.009760425909494231,0.043478260869565216,0.2495035754748011,0.021414665801427646,0.043478260869565216,0.000371032482207306,0.043478260869565216,0.021414665801427646,0.0022175929037027077,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.02517162471395881,0.004257515159334279
FRAG,0.010472865756902571,0.009138742730545556,0.02517162471395881,0.0022883295194508014,0.018633540372670808,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.0006165804076904393,0.021414665801427646,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.004387714399680893,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.02517162471395881,0.001946787800129785,0.004257515159334279,0.013409183258837871,0.043478260869565216,0.02517162471395881,0.00035452992554871565,0.018633540372670808,0.01226309921962096,0.01649175412293853,0.009760425909494231,0.043478260869565216,0.0001340041663113526,0.021414665801427646,0.043478260869565216,0.000371032482207306,0.043478260869565216,0.021414665801427646,0.0022175929037027077,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.02517162471395881,0.004257515159334279
WRB,0.010472865756902571,0.009138742730545556,0.02517162471395881,0.0022883295194508014,0.018633540372670808,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.0006165804076904393,0.021414665801427646,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.004387714399680893,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.02517162471395881,0.001946787800129785,0.004257515159334279,0.5741568468102398,0.043478260869565216,0.02517162471395881,0.00035452992554871565,0.018633540372670808,0.01226309921962096,0.01649175412293853,0.009760425909494231,0.043478260869565216,0.0001340041663113526,0.021414665801427646,0.043478260869565216,0.000371032482207306,0.043478260869565216,0.021414665801427646,0.0022175929037027077,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.20061022120518687,0.004257515159334279
SBARQ+SQ,0.010472865756902571,0.009138742730545556,0.02517162471395881,0.0022883295194508014,0.018633540372670808,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.0006165804076904393,0.021414665801427646,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.004387714399680893,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.02517162471395881,0.001946787800129785,0.004257515159334279,0.013409183258837871,0.043478260869565216,0.02517162471395881,0.00035452992554871565,0.018633540372670808,0.01226309921962096,0.01649175412293853,0.009760425909494231,0.043478260869565216,0.0001340041663113526,0.021414665801427646,0.043478260869565216,0.000371032482207306,0.043478260869565216,0.021414665801427646,0.0022175929037027077,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.02517162471395881,0.004257515159334279
SQ+VP+VP,0.010472865756902571,0.009138742730545556,0.02517162471395881,0.0022883295194508014,0.018633540372670808,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.0006165804076904393,0.021414665801427646,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.004387714399680893,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.02517162471395881,0.001946787800129785,0.004257515159334279,0.013409183258837871,0.043478260869565216,0.02517162471395881,0.00035452992554871565,0.018633540372670808,0.01226309921962096,0.01649175412293853,0.009760425909494231,0.043478260869565216,0.0001340041663113526,0.021414665801427646,0.043478260869565216,0.000371032482207306,0.043478260869565216,0.021414665801427646,0.0022175929037027077,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.02517162471395881,0.004257515159334279
VP+VBG,0.010472865756902571,0.009138742730545556,0.02517162471395881,0.0022883295194508014,0.018633540372670808,0.006053935057787562,0.043478260869565216,0.043478260869565216,0.0006165804076904393,0.021414665801427646,0.043478260869565216,0.001946787800129785,0.02517162471395881,0.004387714399680893,0.043478260869565216,0.043478260869565216,0.01649175412293853,0.02517162471395881,0.02517162471395881,0.01649175412293853,0.004018998903909389,0.043478260869565216,0.02517162471395881,0.001946787800129785,0.004257515159334279,0.013409183258837871,0.043478260869565216,0.02517162471395881,0.00035452992554871565,0.018633540372670808,0.01226309921962096,0.01649175412293853,0.009760425909494231,0.043478260869565216,0.0001340041663113526,0.021414665801427646,0.043478260869565216,0.000371032482207306,0.043478260869565216,0.021414665801427646,0.0022175929037027077,0.043478260869565216,0.01129750085587128,0.018633540372670808,0.02517162471395881,0.004257515159334279
